Ville;2026;Nom du maire_2026;2020;Nom du maire_2020;2014;Nom du maire_2014;2008;Nom du maire_2008;2001;Nom du maire_2001
Paris;PS;Emmanuel Grégoire;PS;Anne Hidalgo;PS;Anne Hidalgo;PS;Bertrand Delanoë;PS;Bertrand Delanoë
Marseille;DVG;Benoît Payan;EELV puis DVG;Michèle Rubirola puis Benoît Payan;UMP/LR;Jean-Claude Gaudin;UMP;Jean-Claude Gaudin;RPR;Jean-Claude Gaudin
Lyon;EELV;Grégory Doucet;EELV;Grégory Doucet;PS;Gérard Collomb;PS;Gérard Collomb;PS;Gérard Collomb
Toulouse;DVD;Jean-Luc Moudenc;LR puis DVD;Jean-Luc Moudenc;UMP/LR;Jean-Luc Moudenc;PS;Pierre Cohen;UDF;Philippe Douste-Blazy
Nice;UDR;Éric Ciotti;LR puis Horizons;Christian Estrosi;UMP/LR;Christian Estrosi;UMP;Christian Estrosi;RPR;Jacques Peyrat
Nantes;PS;Johanna Rolland;PS;Johanna Rolland;PS;Johanna Rolland;PS;Jean-Marc Ayrault;PS;Jean-Marc Ayrault
Montpellier;PS;Michaël Delafosse;PS;Michaël Delafosse;DVG;Philippe Saurel;PS;Hélène Mandroux;PS;Georges Frêche
Strasbourg;PS;Catherine Trautmann;EELV;Jeanne Barseghian;PS;Roland Ries;PS;Roland Ries;UDF;Fabienne Keller
Bordeaux;Renaissance;Thomas Cazenave;EELV;Pierre Hurmic;UMP/LR;Alain Juppé;UMP;Alain Juppé;RPR;Alain Juppé
Lille;PS;Arnaud Deslandes;PS;Martine Aubry;PS;Martine Aubry;PS;Martine Aubry;PS;Martine Aubry
Rennes;PS;Nathalie Appéré;PS;Nathalie Appéré;PS;Nathalie Appéré;PS;Daniel Delaveau;PS;Edmond Hervé
Reims;Horizons;Arnaud Robinet;LR puis Horizons;Arnaud Robinet;UMP/LR;Arnaud Robinet;PS;Adeline Hazan;UDF;Jean-Louis Schneiter
Saint-Étienne;PS;Régis Juanico;LR puis DVD;Gaël Perdriau;UMP/LR;Gaël Perdriau;PS;Maurice Vincent;UDF;Michel Thiollière
Toulon;DVD;Josée Massi;LR puis Horizons;Hubert Falco;UMP/LR;Hubert Falco;UMP;Hubert Falco;UDF;Hubert Falco
Le Havre;Horizons;Édouard Philippe;Horizons;Édouard Philippe;UMP/LR;Édouard Philippe;UMP;Antoine Rufenacht;RPR;Antoine Rufenacht
Grenoble;ECO;Laurence Ruffin;EELV;Éric Piolle;EELV;Éric Piolle;PS;Michel Destot;PS;Michel Destot
Dijon;PS;Nathalie Koenders;PS puis DVG;François Rebsamen;PS;François Rebsamen;PS;François Rebsamen;PS;François Rebsamen
Angers;Horizons;Christophe Béchu;DVD puis Horizons;Christophe Béchu;UMP/LR;Christophe Béchu;PS;Jean-Claude Antonini;PS;Jean-Claude Antonini
Nîmes;PCF;Vincent Bouget;LR;Jean-Paul Fournier;UMP/LR;Jean-Paul Fournier;UMP;Jean-Paul Fournier;RPR;Jean-Paul Fournier
Saint-Denis-de-la-Réunion;PS;Ericka Bareigts;PS;Ericka Bareigts;PS;Gilbert Annette;PS;Gilbert Annette;RPR;René-Paul Victoria
Villeurbanne;PS;Cédric Van Styvendael;PS;Cédric Van Styvendael;PS;Jean-Paul Bret;PS;Jean-Paul Bret;PS;Jean-Paul Bret
Clermont-Ferrand;LR;Julien Bony;PS;Olivier Bianchi;PS;Olivier Bianchi;PS;Serge Godard;PS;Serge Godard
Le Mans;PS;Stéphane Le Foll;PS;Stéphane Le Foll;PS;Jean-Claude Boulard;PS;Jean-Claude Boulard;PS;Jean-Claude Boulard
Aix-en-Provence;UDI;Sophie Joissains;LR;Maryse Joissains-Masini;UMP/LR;Maryse Joissains-Masini;UMP;Maryse Joissains-Masini;RPR;Maryse Joissains-Masini
Brest;DVD;Stéphane Roudaut;PS;François Cuillandre;PS;François Cuillandre;PS;François Cuillandre;PS;François Cuillandre
Tours;EELV;Emmanuel Denis;EELV;Emmanuel Denis;UMP/LR;Serge Babary;PS;Jean Germain;PS;Jean Germain
Amiens;PS;Frédéric Fauvet;UDI;Brigitte Fouré;UDI;Brigitte Fouré;PS;Gilles Demailly;UDF;Gilles de Robien
Limoges;LR;Guillaume Guérin;LR;Émile Roger Lombertie;UMP/LR;Émile Roger Lombertie;PS;Alain Rodet;PS;Alain Rodet
Annecy;Renaissance;Antoine Armand;ÉCO;François Astorg;UDI;Jean-Luc Rigaut;UDI;Jean-Luc Rigaut;UDF;Bernard Bosson
Perpignan;RN;Louis Aliot;RN;Louis Aliot;UMP/LR;Jean-Marc Pujol;UMP;Jean-Paul Alduy;UDF;Jean-Paul Alduy
Boulogne-Billancourt;LR;Pierre-Christophe Baguet;LR;Pierre-Christophe Baguet;UMP/LR;Pierre-Christophe Baguet;UMP;Pierre-Christophe Baguet;UDF;Jean-Pierre Fourcade
Orléans;DVD;Serge Grouard;LR;Serge Grouard;UMP/LR;Serge Grouard;UMP;Serge Grouard;RPR;Serge Grouard
Metz;DVD;François Grosdidier;LR;François Grosdidier;PS;Dominique Gros;PS;Dominique Gros;DVD;Jean-Marie Rausch
Besançon;LR;Ludovic Fagaut;EELV;Anne Vignot;PS;Jean-Louis Fousseret;PS;Jean-Louis Fousseret;PS;Jean-Louis Fousseret
Saint-Denis;LFI;Bally Bagayoko;PS;Mathieu Hanotin;PCF;Didier Paillard;PCF;Didier Paillard;PCF;Patrick Braouezec
Argenteuil;LR;Georges Mothron;LR;Georges Mothron;UMP/LR;Georges Mothron;PS;Philippe Doucet;RPR;Georges Mothron
